"calculation_id","category","counterparty_code","counterparty_name","counterparty_type","bucket_code","bucket_name","amount_rub","share_pct"
1,"asset","CORP001","ТехноСтрой","corporate","D91_180","91–180 дней",45015000000.0,78.649
1,"asset","CBR","ЦБ РФ","cbr","OVER_1Y","Свыше 1 года",2000000000.0,3.494
1,"asset","PHYS001","Физлица","individual","OVER_1Y","Свыше 1 года",1900000000.0,3.32
1,"asset","CBR","ЦБ РФ","cbr","ON_DEMAND","До востребования",1700000000.0,2.97
1,"asset","LKOH","ЛУКОЙЛ","corporate","OVER_1Y","Свыше 1 года",1500000000.0,2.621
1,"asset","CBR","ЦБ РФ","cbr","D31_90","31–90 дней",1000000000.0,1.747
1,"asset","GAZP","Газпром","corporate","D91_180","91–180 дней",1000000000.0,1.747
1,"asset","ROSNFT","Роснефть","corporate","D8_30","8–30 дней",600000000.0,1.048
1,"asset","GAZP","Газпром","corporate","D181_365","181–365 дней",600000000.0,1.048
1,"asset","PHYS001","Физлица","individual","D31_90","31–90 дней",500000000.0,0.874
1,"asset","SBER","Сбербанк","bank","D1","1 день",400000000.0,0.699
1,"asset","PHYS001","Физлица","individual","D181_365","181–365 дней",360000000.0,0.629
1,"asset","VTB","ВТБ","bank","D2_7","2–7 дней",300000000.0,0.524
1,"asset","ALFA","Альфа-Банк","bank","D8_30","8–30 дней",200000000.0,0.349
1,"asset","CORP002","АгроПром","corporate","D8_30","8–30 дней",160000000.0,0.28
1,"liability","PHYS001","Физлица","individual","D181_365","181–365 дней",38220000000.0,71.359
1,"liability","PHYS001","Физлица","individual","D31_90","31–90 дней",6300000000.0,11.763
1,"liability","CORP001","ТехноСтрой","corporate","OVER_1Y","Свыше 1 года",3000000000.0,5.601
1,"liability","GAZP","Газпром","corporate","D91_180","91–180 дней",1200000000.0,2.24
1,"liability","VTB","ВТБ","bank","D8_30","8–30 дней",1000000000.0,1.867
1,"liability","PHYS001","Физлица","individual","ON_DEMAND","До востребования",900000000.0,1.68
1,"liability","LKOH","ЛУКОЙЛ","corporate","D31_90","31–90 дней",800000000.0,1.494
1,"liability","SBER","Сбербанк","bank","D2_7","2–7 дней",600000000.0,1.12
1,"liability","GAZP","Газпром","corporate","ON_DEMAND","До востребования",500000000.0,0.934
1,"liability","ALFA","Альфа-Банк","bank","D31_90","31–90 дней",400000000.0,0.747
1,"liability","LKOH","ЛУКОЙЛ","corporate","ON_DEMAND","До востребования",360000000.0,0.672
1,"liability","CORP001","ТехноСтрой","corporate","D31_90","31–90 дней",160000000.0,0.299
1,"liability","CORP002","АгроПром","corporate","ON_DEMAND","До востребования",120000000.0,0.224
